Data,ipca,ipca-mas,ipca-ma,ipca-ex,ipca-ex2,ipca-dp,ipc-br-core
12/2010,"0,63","0,52","0,51","0,71","0,6","0,71","0,55"
01/2011,"0,83","0,54","0,63","0,66","0,76","0,8","0,41"
02/2011,"0,8","0,4","0,51","1,23","0,96","0,7","0,32"
03/2011,"0,79","0,49","0,6","0,69","0,7","0,7","0,43"
04/2011,"0,77","0,6","0,49","0,58","0,52","0,68","0,55"
05/2011,"0,47","0,64","0,45","0,43","0,54","0,59","0,48"
06/2011,"0,15","0,54","0,44","0,5","0,56","0,42","0,4"
07/2011,"0,16","0,41","0,28","0,4","0,33","0,38","0,29"
08/2011,"0,37","0,55","0,33","0,45","0,32","0,39","0,46"
09/2011,"0,53","0,58","0,55","0,44","0,45","0,51","0,53"
10/2011,"0,43","0,59","0,44","0,43","0,47","0,5","0,43"
11/2011,"0,52","0,55","0,42","0,45","0,47","0,53","0,46"
12/2011,"0,5","0,58","0,39","0,49","0,41","0,54","0,62"
01/2012,"0,56","0,47","0,36","0,57","0,59","0,59","0,37"
02/2012,"0,45","0,41","0,28","0,54","0,6","0,47","0,34"
03/2012,"0,21","0,28","0,27","0,22","0,21","0,26","0,48"
04/2012,"0,64","0,51","0,5","0,71","0,69","0,61","0,43"
05/2012,"0,36","0,45","0,31","0,26","0,36","0,34","0,4"
06/2012,"0,08","0,39","0,3","-0,09","0,05","0,07","0,32"
07/2012,"0,43","0,4","0,35","0,43","0,46","0,53","0,25"
08/2012,"0,41","0,5","0,42","0,4","0,4","0,45","0,35"
09/2012,"0,57","0,49","0,49","0,39","0,47","0,51","0,39"
10/2012,"0,59","0,54","0,46","0,48","0,51","0,55","0,45"
11/2012,"0,6","0,49","0,61","0,64","0,63","0,62","0,46"
12/2012,"0,79","0,56","0,64","0,88","0,76","0,67","0,47"
01/2013,"0,86","0,73","0,77","0,87","0,63","0,65","0,58"
02/2013,"0,6","0,53","0,61",1,"0,28","0,55","0,47"
03/2013,"0,47","0,47","0,48","0,31","0,35","0,46","0,52"
04/2013,"0,55","0,53","0,45","0,45","0,52","0,53","0,45"
05/2013,"0,37","0,52","0,41","0,48","0,49","0,5","0,41"
06/2013,"0,26","0,36","0,31","0,38","0,46","0,43","0,39"
07/2013,"0,03","0,29","0,21","0,35","0,2","0,34","0,24"
08/2013,"0,24","0,42","0,34","0,45","0,41","0,42","0,26"
09/2013,"0,35","0,43","0,4","0,52","0,48","0,46","0,45"
